player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"Shivam Singh","DD","2024-2024","10","9","1","364","106*","45.50","270","134.81","1","3","1","27","23"
"Tushar Raheja","TT","2024-2024","9","9","0","324","81","36.00","216","150.00","0","3","0","33","14"
"B Indrajith","DD","2024-2024","10","10","3","286","96*","40.85","215","133.02","0","2","2","27","8"
"KB Arun Karthik","NRK","2024-2024","7","7","1","260","84","43.33","180","144.44","0","2","0","27","9"
"R Ashwin","DD","2024-2024","10","9","2","252","69*","36.00","166","151.80","0","3","1","21","14"
"N Jagadeesan","CSG","2024-2024","8","8","2","245","63*","40.83","177","138.41","0","2","0","22","8"
"B Sai Sudharsan","LKK","2024-2024","7","7","1","238","123*","39.66","158","150.63","1","0","0","19","10"
"B Aparajith","CSG","2024-2024","8","8","1","234","72","33.42","175","133.71","0","1","0","16","10"
"VP Amit Sathvik","TT","2024-2024","9","9","1","228","67","28.50","168","135.71","0","2","1","22","11"
"R Sanjay Yadav","TRI","2024-2024","7","7","1","226","68","37.66","152","148.68","0","2","0","11","17"
"M Shahrukh Khan","LKK","2024-2024","9","7","2","225","55","45.00","123","182.92","0","4","0","13","19"
"P Ranjan Paul","CSG","2024-2024","8","6","2","222","67*","55.50","165","134.54","0","2","0","20","5"
"Waseem Ahmed","TRI","2024-2024","7","7","1","217","90*","36.16","156","139.10","0","1","0","20","9"
"S Lokeshwar","SMP","2024-2024","7","6","0","196","69","32.66","129","151.93","0","3","0","16","12"
"U Mukilesh","LKK","2024-2024","9","8","2","195","63*","32.50","159","122.64","0","1","1","20","2"
"S Sujay","LKK","2024-2024","8","8","1","193","48*","27.57","168","114.88","0","0","0","20","3"
"J Kousik","SMP","2024-2024","7","6","1","184","57","36.80","147","125.17","0","1","0","14","7"
"Jafar Jamal","TRI","2024-2024","7","6","2","177","52*","44.25","125","141.60","0","1","1","13","12"
"S Mohamed Ali","TT","2024-2024","9","8","2","173","45*","28.83","122","141.80","0","0","0","9","10"
"D Santhosh Kumar","CSG","2024-2024","8","8","0","171","56","21.37","136","125.73","0","1","2","17","8"
"B Sachin","LKK","2024-2024","3","3","1","169","76*","84.50","125","135.20","0","2","0","20","3"
"S Ganesh","TT","2024-2024","9","8","0","167","61","20.87","131","127.48","0","1","1","15","6"
"R Vimal Khumar","DD","2024-2024","10","10","0","165","47","16.50","133","124.06","0","0","0","15","7"
"K Vishal Vaidhya","SAL","2024-2024","6","6","1","164","56*","32.80","140","117.14","0","1","0","19","1"
"R Kavin","SAL","2024-2024","5","5","0","160","70","32.00","124","129.03","0","1","0","16","7"
"G Ajitesh","NRK","2024-2024","7","7","1","152","45","25.33","122","124.59","0","0","1","20","2"
"R Rajkumar","TRI","2024-2024","7","6","2","146","39","36.50","66","221.21","0","0","0","9","14"
"R Vivek","SAL","2024-2024","7","7","1","143","51*","23.83","91","157.14","0","1","0","12","11"
"B Anirudh","TT","2024-2024","9","9","0","142","52","15.77","114","124.56","0","1","0","11","5"
"S Harish Kumar","SAL","2024-2024","7","6","2","140","42*","35.00","73","191.78","0","0","0","5","15"
"S Radhakrishnan","TT","2024-2024","9","8","0","122","50","15.25","103","118.44","0","1","1","13","4"
"J Suresh Kumar","LKK","2024-2024","9","9","1","122","63*","15.25","112","108.92","0","1","1","14","2"
"R Sonu Yadav","NRK","2024-2024","7","6","1","118","43*","23.60","72","163.88","0","0","0","4","11"
"S Shyam Sundar","TRI","2024-2024","7","7","0","118","31","16.85","114","103.50","0","0","0","8","5"
"C Hari Nishaanth","SMP","2024-2024","7","6","0","111","39","18.50","84","132.14","0","0","1","12","2"
"S Rithik Easwaran","NRK","2024-2024","7","6","0","108","59","18.00","81","133.33","0","1","0","6","5"
"AB Tanwar","CSG","2024-2024","8","7","4","96","26*","32.00","43","223.25","0","0","0","1","12"
"BV Kumar","DD","2024-2024","10","9","3","94","51*","15.66","73","128.76","0","1","2","4","5"
"S Abishiek","SAL","2024-2024","7","7","0","92","28","13.14","102","90.19","0","0","0","10","2"
"C Sarath Kumar","DD","2024-2024","8","8","1","92","27*","13.14","72","127.77","0","0","2","6","5"
"NS Rajagopal","NRK","2024-2024","7","6","1","91","53*","18.20","76","119.73","0","1","1","5","4"
"U Sasidev","SMP","2024-2024","7","6","0","89","41","14.83","63","141.26","0","0","0","6","5"
"Muhammed Adnan Khan","SAL","2024-2024","6","5","1","86","40","21.50","67","128.35","0","0","1","8","4"
"R Ram Arvindh","LKK","2024-2024","8","6","0","86","27","14.33","82","104.87","0","0","0","2","5"
"MA Atheeq Ur Rahman","LKK","2024-2024","6","6","2","81","29*","20.25","54","150.00","0","0","0","8","3"
"MK Bafna","TT","2024-2024","3","2","0","76","50","38.00","54","140.74","0","1","0","6","3"
"NS Chaturved","SMP","2024-2024","7","6","2","75","26*","18.75","53","141.50","0","0","0","9","3"
"NS Harish","NRK","2024-2024","6","6","1","73","29","14.60","54","135.18","0","0","1","5","5"
"R Bist","SAL","2024-2024","4","4","0","67","36","16.75","71","94.36","0","0","0","6","1"
"DS Ferrario","CSG","2024-2024","8","7","0","67","30","9.57","49","136.73","0","0","0","4","4"
"C Andre Siddarth","CSG","2024-2024","7","5","0","62","23","12.40","62","100.00","0","0","0","4","1"
"Sunny Sandhu","SAL","2024-2024","6","5","2","61","29","20.33","45","135.55","0","0","0","6","3"
"P Saravanan","SMP","2024-2024","5","5","1","60","25","15.00","37","162.16","0","0","1","3","7"
"RS Mokit Hariharan","NRK","2024-2024","6","6","0","55","52","9.16","51","107.84","0","1","2","5","1"
"R Rajan","SAL","2024-2024","2","1","1","53","53*","0","39","135.89","0","1","0","4","2"
"L Suryaprakash","NRK","2024-2024","4","4","1","51","43*","17.00","51","100.00","0","0","1","6","0"
"P Nirmal Kumar","TRI","2024-2024","6","2","0","49","46","24.50","46","106.52","0","0","0","3","3"
"P Saravana Kumar","TRI","2024-2024","7","5","3","46","17*","23.00","40","115.00","0","0","0","4","3"
"K Rajkumar","TRI","2024-2024","3","3","0","44","22","14.66","40","110.00","0","0","0","6","2"
"R Sai Kishore","TT","2024-2024","7","7","2","43","16","8.60","43","100.00","0","0","0","2","2"
"M Ashwin","SMP","2024-2024","7","5","2","41","20*","13.66","39","105.12","0","0","1","1","3"
"S Dinesh Raj","DD","2024-2024","10","6","3","40","20","13.33","25","160.00","0","0","0","3","3"
"AP Murthy","TRI","2024-2024","6","6","0","39","18","6.50","53","73.58","0","0","0","5","0"
"Swapnil Singh","SMP","2024-2024","3","3","1","36","18","18.00","34","105.88","0","0","0","1","2"
"VS Karthick Manikandan","SMP","2024-2024","4","2","0","33","33","16.50","26","126.92","0","0","1","4","1"
"PS Chandran","SAL","2024-2024","6","4","0","31","20","7.75","38","81.57","0","0","0","2","1"
"S Bhati","DD","2024-2024","8","4","2","29","14*","14.50","25","116.00","0","0","0","1","2"
"R Rohit","TT","2024-2024","7","3","2","28","14","28.00","21","133.33","0","0","0","2","1"
"R Mithun","SMP","2024-2024","2","2","0","27","26","13.50","24","112.50","0","0","0","3","1"
"R Sathish","CSG","2024-2024","4","3","2","26","12*","26.00","25","104.00","0","0","0","1","1"
"S Sri Abisek","SMP","2024-2024","2","2","0","22","21","11.00","21","104.76","0","0","0","2","1"
"V Shankar","TT","2024-2024","2","2","0","20","16","10.00","20","100.00","0","0","0","2","0"
"M Siddharth","LKK","2024-2024","9","3","2","18","7*","18.00","19","94.73","0","0","0","2","0"
"S Ajith Ram","TT","2024-2024","9","4","2","17","8","8.50","20","85.00","0","0","0","2","0"
"M Mohammed","LKK","2024-2024","9","5","2","17","15*","5.66","31","54.83","0","0","3","0","0"
