player,team,span,matches,innings,balls,overs,maidens,runs,wickets,bbi,average,economy,strike_rate,four_wickets,five_wickets
"M Poiyamozhi","SAL","2024-2024","7","7","161","26.5","0","219","16","4/28","13.68","8.16","10.06","1","0"
"M Shahrukh Khan","LKK","2024-2024","9","9","176","29.2","0","199","13","3/13","15.30","6.78","13.53","0","0"
"V Athisayaraj Davidson","TRI","2024-2024","7","7","135","22.3","0","201","13","4/32","15.46","8.93","10.38","1","0"
"T Natarajan","TT","2024-2024","8","8","162","27.0","0","210","12","4/36","17.50","7.77","13.50","1","0"
"S Sandeep Warrier","DD","2024-2024","10","10","201","33.3","1","231","12","2/17","19.25","6.89","16.75","0","0"
"CV Varun","DD","2024-2024","10","10","216","36.0","0","238","12","2/15","19.83","6.61","18.00","0","0"
"S Ajith Ram","TT","2024-2024","9","9","161","26.5","0","207","11","3/30","18.81","7.71","14.63","0","0"
"P Vignesh","DD","2024-2024","10","9","156","26.0","0","161","10","3/8","16.10","6.19","15.60","0","0"
"M Ashwin","SMP","2024-2024","7","7","146","24.2","0","177","10","4/21","17.70","7.27","14.60","1","0"
"AB Tanwar","CSG","2024-2024","8","8","168","28.0","1","238","10","4/26","23.80","8.50","16.80","1","0"
"P Saravana Kumar","TRI","2024-2024","7","7","115","19.1","0","154","9","4/30","17.11","8.03","12.77","1","0"
"R Sonu Yadav","NRK","2024-2024","7","6","136","22.4","0","173","9","5/30","19.22","7.63","15.11","0","1"
"S Mohamed Ali","TT","2024-2024","9","9","144","24.0","0","188","9","3/10","20.88","7.83","16.00","0","0"
"R Silambarasan","NRK","2024-2024","7","6","122","20.2","0","191","9","3/31","21.22","9.39","13.55","0","0"
"R Ashwin","DD","2024-2024","10","10","215","35.5","0","248","9","3/18","27.55","6.92","23.88","0","0"
"M Mohammed","LKK","2024-2024","9","9","182","30.2","0","256","9","3/23","28.44","8.43","20.22","0","0"
"K Easwaran","TRI","2024-2024","4","4","58","9.4","0","100","8","6/32","12.50","10.34","7.25","0","1"
"Sunny Sandhu","SAL","2024-2024","6","6","129","21.3","0","174","8","2/20","21.75","8.09","16.12","0","0"
"S Bhati","DD","2024-2024","8","7","126","21.0","0","177","8","3/14","22.12","8.42","15.75","0","0"
"J Subramanyan","LKK","2024-2024","9","9","198","33.0","0","201","8","2/16","25.12","6.09","24.75","0","0"
"G Periyaswamy","CSG","2024-2024","8","8","180","30.0","1","203","8","2/17","25.37","6.76","22.50","0","0"
"P Bhuvaneswaran","TT","2024-2024","9","9","166","27.4","1","249","8","1/12","31.12","9.00","20.75","0","0"
"R Rajkumar","TRI","2024-2024","7","7","114","19.0","0","129","7","3/9","18.42","6.78","16.28","0","0"
"Gurjapneet Singh","SMP","2024-2024","7","7","156","26.0","0","192","7","2/3","27.42","7.38","22.28","0","0"
"RS Shah","CSG","2024-2024","8","8","137","22.5","0","193","7","3/13","27.57","8.45","19.57","0","0"
"K Gowtham Thamarai","LKK","2024-2024","9","9","144","24.0","0","216","7","4/20","30.85","9.00","20.57","1","0"
"M Siddharth","LKK","2024-2024","9","9","210","35.0","0","227","7","2/20","32.42","6.48","30.00","0","0"
"VS Karthick Manikandan","SMP","2024-2024","4","3","60","10.0","0","98","6","3/23","16.33","9.80","10.00","0","0"
"Ajay K Krishna","SMP","2024-2024","4","4","66","11.0","0","102","6","4/20","17.00","9.27","11.00","1","0"
"S Harish Kumar","SAL","2024-2024","7","7","138","23.0","0","246","6","2/24","41.00","10.69","23.00","0","0"
"DS Ferrario","CSG","2024-2024","8","4","60","10.0","0","74","5","3/32","14.80","7.40","12.00","0","0"
"A Aswin Crist","CSG","2024-2024","7","6","83","13.5","0","146","5","2/51","29.20","10.55","16.60","0","0"
"R Sai Kishore","TT","2024-2024","7","7","101","16.5","0","156","5","2/29","31.20","9.26","20.20","0","0"
"R Sanjay Yadav","TRI","2024-2024","7","5","114","19.0","0","160","5","3/28","32.00","8.42","22.80","0","0"
"R Rohit","TT","2024-2024","7","7","102","17.0","0","165","5","3/33","33.00","9.70","20.40","0","0"
"ME Yazh Arun Mozhi","SAL","2024-2024","4","4","72","12.0","0","91","4","3/22","22.75","7.58","18.00","0","0"
"Emmanuel Cherian","NRK","2024-2024","6","5","87","14.3","0","119","4","1/24","29.75","8.20","21.75","0","0"
"R Aushik Srinivas","SAL","2024-2024","6","6","132","22.0","0","157","4","1/10","39.25","7.13","33.00","0","0"
"W Antony Dhas","TRI","2024-2024","7","7","108","18.0","0","161","4","2/28","40.25","8.94","27.00","0","0"
"V Yudheeshwaran","LKK","2024-2024","9","9","144","24.0","0","230","4","1/18","57.50","9.58","36.00","0","0"
"R Mithun","SMP","2024-2024","2","2","30","5.0","0","25","3","2/12","8.33","5.00","10.00","0","0"
"SG Sayee","SAL","2024-2024","1","1","24","4.0","0","33","3","3/33","11.00","8.25","8.00","0","0"
"R Alexandar","SMP","2024-2024","4","4","54","9.0","0","80","3","2/21","26.66","8.88","18.00","0","0"
"NS Harish","NRK","2024-2024","6","5","84","14.0","0","102","3","1/13","34.00","7.28","28.00","0","0"
"N Selva Kumaran","SAL","2024-2024","4","4","72","12.0","0","107","3","2/45","35.66","8.91","24.00","0","0"
"M Silambarasan","CSG","2024-2024","6","5","96","16.0","0","122","3","1/10","40.66","7.62","32.00","0","0"
"S Mohan Prasath","NRK","2024-2024","5","5","102","17.0","0","129","3","1/19","43.00","7.58","34.00","0","0"
"VP Diran","DD","2024-2024","10","9","103","17.1","0","202","3","1/10","67.33","11.76","34.33","0","0"
"J Prem Kumar","CSG","2024-2024","1","1","24","4.0","0","26","2","2/26","13.00","6.50","12.00","0","0"
"B Aparajith","CSG","2024-2024","8","4","72","12.0","0","78","2","1/23","39.00","6.50","36.00","0","0"
"M Mathivannan","TT","2024-2024","6","5","66","11.0","0","78","2","1/6","39.00","7.09","33.00","0","0"
"B Surya","CSG","2024-2024","4","4","60","10.0","0","88","2","1/12","44.00","8.80","30.00","0","0"
"Muhammed Adnan Khan","SAL","2024-2024","6","1","6","1.0","0","11","1","1/11","11.00","11.00","6.00","0","0"
"A Karuppusamy","TT","2024-2024","2","1","12","2.0","0","21","1","1/21","21.00","10.50","12.00","0","0"
"N Kabilan","NRK","2024-2024","1","1","12","2.0","0","27","1","1/27","27.00","13.50","12.00","0","0"
"J Rohan","NRK","2024-2024","1","1","18","3.0","0","27","1","1/27","27.00","9.00","18.00","0","0"
"S Rathi","SAL","2024-2024","1","1","18","3.0","0","29","1","1/29","29.00","9.66","18.00","0","0"
"S Gohulmoorthi","NRK","2024-2024","1","1","24","4.0","0","37","1","1/37","37.00","9.25","24.00","0","0"
"RS Mokit Hariharan","NRK","2024-2024","6","4","33","5.3","0","43","1","1/7","43.00","7.81","33.00","0","0"
"G Godson","TRI","2024-2024","2","2","36","6.0","0","45","1","1/17","45.00","7.50","36.00","0","0"
"G Kishoor","DD","2024-2024","2","2","24","4.0","0","49","1","1/37","49.00","12.25","24.00","0","0"
"V Shankar","TT","2024-2024","2","2","36","6.0","0","50","1","1/23","50.00","8.33","36.00","0","0"
"Swapnil Singh","SMP","2024-2024","3","2","36","6.0","0","50","1","1/30","50.00","8.33","36.00","0","0"
"R Vivek","SAL","2024-2024","7","4","42","7.0","0","56","1","1/17","56.00","8.00","42.00","0","0"
