player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"Tushar Raheja","TT","2025-2025","9","9","1","488","80","61.00","263","185.55","0","5","0","46","32"
"B Aparajith","CSG","2025-2025","9","9","3","412","77*","68.66","260","158.46","0","4","0","24","30"
"VP Amit Sathvik","TT","2025-2025","9","9","2","340","68*","48.57","244","139.34","0","4","1","33","17"
"Shivam Singh","DD","2025-2025","10","9","2","327","86*","46.71","231","141.55","0","2","0","29","18"
"R Ashwin","DD","2025-2025","10","10","0","297","83","29.70","193","153.88","0","2","0","31","14"
"B Sachin","LKK","2025-2025","7","7","0","254","116","36.28","184","138.04","1","1","1","26","10"
"NS Rajagopal","SAL","2025-2025","7","7","0","252","74","36.00","180","140.00","0","3","0","22","10"
"V Shankar","CSG","2025-2025","9","9","4","251","59","50.20","163","153.98","0","1","1","17","13"
"R Vimal Khumar","DD","2025-2025","10","9","1","240","65","30.00","168","142.85","0","2","1","19","11"
"M Shahrukh Khan","LKK","2025-2025","7","7","1","218","77*","36.33","131","166.41","0","1","0","16","16"
"K Aashiq","CSG","2025-2025","9","9","0","208","56","23.11","158","131.64","0","2","0","22","7"
"MA Atheeq Ur Rahman","SMP","2025-2025","7","7","0","202","50","28.85","152","132.89","0","1","1","12","10"
"R Rajkumar","TRI","2025-2025","8","8","3","200","59","40.00","101","198.01","0","2","2","15","16"
"R Sanjay Yadav","TRI","2025-2025","8","8","2","196","60*","32.66","167","117.36","0","2","0","19","8"
"B Indrajith","DD","2025-2025","10","9","2","187","73","26.71","147","127.21","0","1","0","13","7"
"J Kousik","TRI","2025-2025","8","8","0","186","62","23.25","153","121.56","0","1","1","12","9"
"C Hari Nishaanth","SAL","2025-2025","7","7","0","185","83","26.42","145","127.58","0","2","1","13","8"
"N Jagadeesan","CSG","2025-2025","9","7","1","180","81","30.00","104","173.07","0","2","0","11","11"
"RS Mokit Hariharan","CSG","2025-2025","9","9","0","176","46","19.55","142","123.94","0","0","0","19","5"
"KB Arun Karthik","NRK","2025-2025","7","6","0","170","67","28.33","129","131.78","0","2","0","15","8"
"S Lokeshwar","LKK","2025-2025","7","7","1","169","90*","28.16","137","123.35","0","1","0","12","8"
"D Santhosh Kumar","NRK","2025-2025","7","7","0","164","73","23.42","116","141.37","0","1","1","18","7"
"Hunny Saini","DD","2025-2025","10","10","2","162","37","20.25","89","182.02","0","0","0","14","10"
"J Suresh Kumar","TRI","2025-2025","8","7","0","151","63","21.57","114","132.45","0","1","1","20","3"
"Waseem Ahmed","TRI","2025-2025","8","8","0","151","41","18.87","138","109.42","0","0","0","19","4"
"B Anirudh","SMP","2025-2025","7","7","0","150","48","21.42","120","125.00","0","0","1","14","6"
"P Ranjan Paul","TT","2025-2025","9","6","2","146","42*","36.50","135","108.14","0","0","0","11","3"
"R Ram Arvindh","SMP","2025-2025","7","7","0","143","64","20.42","129","110.85","0","1","1","13","4"
"NS Chaturved","SMP","2025-2025","7","7","1","139","46*","23.16","107","129.90","0","0","0","10","5"
"S Abishiek","SAL","2025-2025","7","7","0","134","47","19.14","123","108.94","0","0","0","7","5"
"R Sonu Yadav","NRK","2025-2025","7","6","2","133","39*","33.25","100","133.00","0","0","0","8","9"
