player,team,span,matches,innings,balls,overs,maidens,runs,wickets,bbi,average,economy,strike_rate,four_wickets,five_wickets
"R Sonu Yadav","NRK","2025-2025","7","7","154","25.4","0","205","16","3/22","12.81","7.98","9.62","0","0"
"Esakkimuthu A","TT","2025-2025","8","8","180","30.0","0","224","14","4/26","16.00","7.46","12.85","1","0"
"R Ashwin","DD","2025-2025","10","10","228","38.0","0","280","13","3/22","21.53","7.36","17.53","0","0"
"AB Tanwar","CSG","2025-2025","9","9","196","32.4","0","312","13","4/16","24.00","9.55","15.07","1","0"
"M Mohammed","SAL","2025-2025","7","7","150","25.0","0","181","12","4/20","15.08","7.24","12.50","1","0"
"R Sai Kishore","TT","2025-2025","9","9","205","34.1","0","186","12","2/9","15.50","5.44","17.08","0","0"
"V Athisayaraj Davidson","TRI","2025-2025","8","8","177","29.3","0","257","12","3/26","21.41","8.71","14.75","0","0"
"G Periyaswamy","DD","2025-2025","10","10","234","39.0","0","396","12","2/30","33.00","10.15","19.50","0","0"
"J Prem Kumar","CSG","2025-2025","9","9","214","35.4","0","279","11","3/19","25.36","7.82","19.45","0","0"
"CV Varun","DD","2025-2025","10","10","234","39.0","0","288","11","3/25","26.18","7.38","21.27","0","0"
"TD Lokesh Raj","CSG","2025-2025","7","7","102","17.0","0","151","10","5/13","15.10","8.88","10.20","0","1"
"K Easwaran","TRI","2025-2025","7","7","150","25.0","0","181","10","2/10","18.10","7.24","15.00","0","0"
"T Natarajan","TT","2025-2025","9","9","179","29.5","2","196","10","3/14","19.60","6.56","17.90","0","0"
"M Poiyamozhi","SAL","2025-2025","7","7","156","26.0","0","218","10","3/29","21.80","8.38","15.60","0","0"
"R Silambarasan","TT","2025-2025","9","9","168","28.0","0","231","10","2/12","23.10","8.25","16.80","0","0"
"V Shankar","CSG","2025-2025","9","8","168","28.0","0","239","10","3/23","23.90","8.53","16.80","0","0"
"M Silambarasan","CSG","2025-2025","9","8","174","29.0","0","164","8","2/18","20.50","5.65","21.75","0","0"
