Team,Sr_No,Player,Nationality,Base_Price_INR,Winning_Bid_INR,Capped_Status
"CHENNAI SUPER KINGS","1","Kartik Sharma","Indian","3000000","142000000","Uncapped"
"CHENNAI SUPER KINGS","2","Prashant Veer","Indian","3000000","142000000","Uncapped"
"CHENNAI SUPER KINGS","3","Rahul Chahar","Indian","10000000","52000000","Capped"
"CHENNAI SUPER KINGS","4","Matt Henry","Overseas","20000000","20000000","Capped"
"CHENNAI SUPER KINGS","5","Akeal Hosein","Overseas","20000000","20000000","Capped"
"CHENNAI SUPER KINGS","6","Matthew Short","Overseas","15000000","15000000","Capped"
"CHENNAI SUPER KINGS","7","Zak Foulkes","Overseas","7500000","7500000","Capped"
"CHENNAI SUPER KINGS","8","Sarfaraz Khan","Indian","7500000","7500000","Capped"
"CHENNAI SUPER KINGS","9","Aman Khan","Indian","3000000","4000000","Uncapped"
"DELHI CAPITALS","1","Auqib Dar","Indian","3000000","84000000","Uncapped"
"DELHI CAPITALS","2","Pathum Nissanka","Overseas","7500000","40000000","Capped"
"DELHI CAPITALS","3","Kyle Jamieson","Overseas","20000000","20000000","Capped"
"DELHI CAPITALS","4","Lungisani Ngidi","Overseas","20000000","20000000","Capped"
"DELHI CAPITALS","5","Ben Duckett","Overseas","20000000","20000000","Capped"
"DELHI CAPITALS","6","David Miller","Overseas","20000000","20000000","Capped"
"DELHI CAPITALS","7","Prithvi Shaw","Indian","7500000","7500000","Capped"
"DELHI CAPITALS","8","Sahil Parakh","Indian","3000000","3000000","Uncapped"
"GUJARAT TITANS","1","Jason Holder","Overseas","20000000","70000000","Capped"
"GUJARAT TITANS","2","Tom Banton","Overseas","20000000","20000000","Capped"
"GUJARAT TITANS","3","Ashok Sharma","Indian","3000000","9000000","Uncapped"
"GUJARAT TITANS","4","Luke Wood","Overseas","7500000","7500000","Capped"
"GUJARAT TITANS","5","Prithviraj Yarra","Indian","3000000","3000000","Uncapped"
