Player,Role,Team,Final_Price_Cr
Ms Dhoni (Wk)(C),WK-Batsman,Chennai Super Kings,12
Ruturaj Gaikwad,Batsman,Chennai Super Kings,6
Devon Conway,Batsman,Chennai Super Kings,1
Deepak Chahar,Bowler,Chennai Super Kings,14
Tushar Deshpande,Bowler,Chennai Super Kings,0.2
Maheesh Theekshana,Bowler,Chennai Super Kings,0.7
Simranjeet Singh,Bowler,Chennai Super Kings,0.2
Matheesha Pathirana,Bowler,Chennai Super Kings,0.2
Prashant Solanki,Bowler,Chennai Super Kings,1.2
Mitchell Santner,Bowler,Chennai Super Kings,1.9
Rajvardhan Hangargekar,Bowler,Chennai Super Kings,1.5
Ravindra Jadeja,All-rounder,Chennai Super Kings,16
Moeen Ali,All-rounder,Chennai Super Kings,8
Shivam Dube,All-rounder,Chennai Super Kings,4
Ajinkya Rahane,Batsman,Chennai Super Kings,0.5
Nishant Sindhu,All-rounder,Chennai Super Kings,0.2
Shaik Rasheed,Batsman,Chennai Super Kings,0.2
Ajay Mandal,Bowler,Chennai Super Kings,0.2
Mukesh Choudhary,Bowler,Chennai Super Kings,0.2
Rachin Ravindra,All-rounder,Chennai Super Kings,1.8
Shardul Thakur,All-rounder,Chennai Super Kings,4
Daryl Mitchell,All-rounder,Chennai Super Kings,14
Sameer Rizvi,Batsman,Chennai Super Kings,8.4
Mustafizur Rahman,Bowler,Chennai Super Kings,2
Avanish Rao Aravelly,WK-Batsman,Chennai Super Kings,0.2
Rishabh Pant,WT-Batsman,Delhi Capitals,
Abhishek Porel,WT-Batsman,Delhi Capitals,0.2
Prithvi Shaw,Batsman,Delhi Capitals,7.5
David Warner,Batsman,Delhi Capitals,6.25
Yash Dhull,Batsman,Delhi Capitals,0.5
Anrich Nortje,Bowler,Delhi Capitals,6.5
Lungi Ngidi,Bowler,Delhi Capitals,0.5
Khaleel Ahmed,Bowler,Delhi Capitals,5.25
Praveen Dubey,Bowler,Delhi Capitals,0.5
Kuldeep Yadav,Bowler,Delhi Capitals,2
Axar Patel,All-rounder,Delhi Capitals,9
Mitchell Marsh,All-rounder,Delhi Capitals,6.5
Lalit Yadav,All-rounder,Delhi Capitals,0.65
Vicky Ostwal,All-rounder,Delhi Capitals,0.2
Ishant Sharma,Bowler,Delhi Capitals,0.5
Mukesh Kumar,Bowler,Delhi Capitals,5.5
Harry Brook,Batsman,Delhi Capitals,4
Tristan Stubbs,WT-Batsman,Delhi Capitals,0.5
Ricky Bhui,WT-Batsman,Delhi Capitals,0.2
Kumar Kushagra,WT-Batsman,Delhi Capitals,7.2
Rasikh Dar,Bowler,Delhi Capitals,0.2
Jhye Richardson,Bowler,Delhi Capitals,5
Sumit Kumar,All-rounder,Delhi Capitals,1
Shai Hope,WT-Batsman,Delhi Capitals,0.75
Swastik Chikara,Batsman,Delhi Capitals,0.2
Shubman Gill(C),Batsman,Gujarat Titans,8
Sai Sudarshan,Batsman,Gujarat Titans,0.2
Abhinav Manohar,Batsman,Gujarat Titans,2.6
David Miller,Batsman,Gujarat Titans,3
Kane Williamson,Batsman,Gujarat Titans,2
Matthew Wade (Wk),WK-Batsman,Gujarat Titans,2.4
Wriddhiman Saha (Wk),WK-Batsman,Gujarat Titans,1.9
Rashid Khan,Bowler,Gujarat Titans,15
Darshan Nalkande,Bowler,Gujarat Titans,0.2
R Sai Kishore,Bowler,Gujarat Titans,3
Noor Ahmad,Bowler,Gujarat Titans,0.3
Mohammed Shami,Bowler,Gujarat Titans,6.25
Vijay Shankar,All-rounder,Gujarat Titans,1.4
Jayant Yadav,All-rounder,Gujarat Titans,1.7
Rahul Tewatia,All-rounder,Gujarat Titans,9
Joshua Little,Bowler,Gujarat Titans,4.4
Mohit Sharma,Bowler,Gujarat Titans,0.5
Azmatullah Omarzai,All-rounder,Gujarat Titans,0.5
Umesh Yadav,Bowler,Gujarat Titans,5.8
Shahrukh Khan,All-rounder,Gujarat Titans,7.4
Sushant Mishra,Bowler,Gujarat Titans,2.2
Kartik Tyagi,Bowler,Gujarat Titans,0.6
Manav Suthar,Bowler,Gujarat Titans,0.2
Spencer Johnson,Bowler,Gujarat Titans,10
Robin Minz,WK-Batsman,Gujarat Titans,3.6
Shreyas Iyer,Batsman,Kolkata Knight Riders,12.25
Nitish Rana,Batsman,Kolkata Knight Riders,8
Rinku Singh,Batsman,Kolkata Knight Riders,0.55
Varun Chakravarty,Bowlers,Kolkata Knight Riders,8
Andre Russell,All-rounder,Kolkata Knight Riders,12
Venkatesh Iyer,All-rounder,Kolkata Knight Riders,8
Sunil Narine,All-rounder,Kolkata Knight Riders,6
Anukul Roy,All-rounder,Kolkata Knight Riders,0.2
Rahmanullah Gurbaz,WK-Batsman,Kolkata Knight Riders,0.5
Harshit Rana,Bowler,Kolkata Knight Riders,0.2
Vaibhav Arora,Bowler,Kolkata Knight Riders,0.6
Suyash Sharma,Bowler,Kolkata Knight Riders,0.2
Jason Roy,Batsman,Kolkata Knight Riders,2.8
Ks Bharat,WK-Batsman,Kolkata Knight Riders,0.5
Chetan Sakaria,Bowler,Kolkata Knight Riders,0.5
Mitchell Starc,Bowler,Kolkata Knight Riders,24.75
Angkrish Raghuvanshi,Batsman,Kolkata Knight Riders,0.2
Ramandeep Singh,All-rounder,Kolkata Knight Riders,0.2
Sherfane Rutherford,Batsman,Kolkata Knight Riders,1.5
Manish Pandey,Batsman,Kolkata Knight Riders,0.5
Mujeeb Rahman,Bowler,Kolkata Knight Riders,2
Gus Atkinson,Bowler,Kolkata Knight Riders,1
Sakib Hussain,Bowler,Kolkata Knight Riders,0.2
Kl Rahul (C&Wk),WK-Batsman,Lucknow Super Giants,17
Quinton De Kock (Wk),WK-Batsman,Lucknow Super Giants,6.75
Ravi Bishnoi,Bowler,Lucknow Super Giants,4
Mohsin Khan,Bowler,Lucknow Super Giants,0.2
Mark Wood,Bowler,Lucknow Super Giants,7.5
Marcus Stoinis,All-rounder,Lucknow Super Giants,9.2
