Player_Name,Team_x,Type,Base,Final_Price
virat kohli,RCB,BAT,-,21
rajat patidar,RCB,BAT,-,11
yash dayal,RCB,BOWL,-,5
jasprit bumrah,MI,BOWL,-,18
suryakumar yadav,MI,BAT,-,16.35
hardik pandya,MI,AR,-,16.35
rohit sharma,MI,BAT,-,16.3
tilak varma,MI,AR,-,8
heinrich klaasen,SRH,BAT,-,23
pat cummins,SRH,AR,-,18
abhishek sharma,SRH,AR,-,14
travis head,SRH,BAT,-,14
nitish kumar reddy,SRH,AR,-,6
ruturaj gaikwad,CSK,BAT,-,18
ravindra jadeja,CSK,AR,-,18
matheesha pathirana,CSK,BOWL,-,13
shivam dube,CSK,AR,-,12
ms dhoni,CSK,BAT,-,4
axar patel,DC,AR,-,16.5
kuldeep yadav,DC,BOWL,-,13.25
tristan stubbs,DC,BAT,-,10
abishek porel,DC,BAT,-,4
rinku singh,KKR,BAT,-,13
varun chakravarthy,KKR,AR,-,12
sunil narine,KKR,BOWL,-,12
andre russell,KKR,AR,-,12
harshit rana,KKR,BOWL,-,4
ramandeep singh,KKR,AR,-,4
sanju samson,RR,BAT,-,18
yashasvi jaiswal,RR,AR,-,18
riyan parag,RR,AR,-,14
dhruv jurel,RR,BAT,-,14
shimron hetmyer,RR,BAT,-,11
sandeep sharma,RR,BOWL,-,4
rashid khan,GT,BOWL,-,18
shubman gill,GT,BAT,-,16.5
sai sudharsan,GT,AR,-,8.5
rahul tewatia,GT,AR,-,4
m shahrukh khan,GT,AR,-,4
nicholas pooran,LSG,BAT,-,21
ravi bishnoi,LSG,BOWL,-,11
mayank yadav,LSG,BOWL,-,11
mohsin khan,LSG,BOWL,-,4
ayush badoni,LSG,AR,-,4
shashank singh,PBKS,AR,-,5.5
prabhsimran singh,PBKS,BAT,-,4
jos buttler,GT,BAT,2,15.75
shreyas iyer,PBKS,BAT,2,26.75
rishabh pant,LSG,BAT,2,27
kagiso rabada,GT,BOWL,2,10.75
arshdeep singh,PBKS,BOWL,2,18
mitchell starc,DC,BOWL,2,11.75
yuzvendra chahal,PBKS,BOWL,2,18
liam livingstone,RCB,AR,2,8.75
david miller,LSG,BAT,1.5,7.5
kl rahul,DC,BAT,2,14
mohammed shami,SRH,BOWL,2,10
mohammed siraj,GT,BOWL,2,12.25
