player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"AM Rahane","MUM","2024-2024","9","8","0","469","98","58.62","285","164.56","0","5","0","46","19"
"RM Patidar","MP","2024-2024","10","9","2","428","81*","61.14","230","186.08","0","5","0","32","27"
"S Gani","BIHAR","2024-2024","7","7","1","353","120*","58.83","248","142.33","1","2","0","41","10"
"SS Iyer","MUM","2024-2024","9","8","1","345","130*","49.28","183","188.52","1","1","0","31","22"
"Karan Lal","BENG","2024-2024","9","9","1","338","94*","42.25","209","161.72","0","2","0","35","18"
"Abishek Porel","BENG","2024-2024","9","9","1","335","81","41.87","211","158.76","0","3","1","38","15"
"NT Tilak Varma","HYD","2024-2024","7","6","1","327","151","65.40","193","169.43","1","2","0","24","17"
"P Arya","DELHI","2024-2024","9","9","1","325","102","40.62","184","176.63","1","1","1","25","23"
"HM Desai","SAU","2024-2024","8","8","0","323","76","40.37","212","152.35","0","3","0","39","13"
"UM Patel","GUJ","2024-2024","6","6","2","315","115*","78.75","137","229.92","2","0","0","22","29"
"KS Bharat","AP","2024-2024","7","7","3","307","93*","76.75","205","149.75","0","4","0","29","12"
"Harpreet Singh","MP","2024-2024","10","9","3","297","60","49.50","221","134.38","0","2","0","25","10"
"M Jangra","MIZO","2024-2024","7","7","3","296","80*","74.00","196","151.02","0","3","0","25","17"
"Mohit Ahlawat","SVCS","2024-2024","6","6","0","290","74","48.33","166","174.69","0","2","0","16","20"
"RK Bhui","AP","2024-2024","7","6","1","289","84","57.80","153","188.88","0","3","0","26","20"
"Aarya Desai","GUJ","2024-2024","7","7","1","287","78","47.83","196","146.42","0","2","0","34","9"
"N Jagadeesan","TN","2024-2024","7","7","0","280","88","40.00","171","163.74","0","4","1","25","12"
"RK Singh","UP","2024-2024","9","8","4","277","70","69.25","182","152.19","0","1","0","24","14"
"BJ Pania","BRODA","2024-2024","9","7","2","273","134*","54.60","127","214.96","1","0","0","15","25"
"SS Prabhudessai","GOA","2024-2024","6","6","2","270","71*","67.50","180","150.00","0","4","0","33","5"
"SPP Samal","ODSA","2024-2024","5","5","0","257","105","51.40","136","188.97","1","2","1","24","16"
"Abhishek Sharma","PNJB","2024-2024","7","7","1","255","106*","42.50","118","216.10","1","1","1","26","18"
"KK Nair","VIDAR","2024-2024","6","6","0","255","77","42.50","144","177.08","0","3","0","26","10"
"SP Senapati","MP","2024-2024","10","10","1","254","50","28.22","197","128.93","0","1","0","16","9"
"HH Pandya","BRODA","2024-2024","7","7","2","246","74*","49.20","127","193.70","0","2","1","17","20"
"RS Kunnummal","KER","2024-2024","6","6","0","244","87","40.66","144","169.44","0","2","0","23","14"
"S Bhambri","CHD","2024-2024","7","7","1","241","75","40.16","153","157.51","0","3","0","23","11"
"YV Dhull","DELHI","2024-2024","9","9","2","238","59*","34.00","203","117.24","0","1","1","28","9"
"Shahbaz Ahmed","BENG","2024-2024","9","6","3","237","100*","79.00","134","176.86","1","1","0","13","16"
"SS Sharma","BRODA","2024-2024","9","9","1","235","64","29.37","151","155.62","0","2","0","19","14"
"Y Chaudhary","UKHND","2024-2024","5","5","1","234","123","58.50","139","168.34","1","1","0","25","15"
"VR Iyer","MP","2024-2024","10","9","5","227","38*","56.75","139","163.30","0","0","0","18","11"
"PN Mankad","SAU","2024-2024","8","8","0","222","54","27.75","142","156.33","0","1","0","27","9"
"A Juyal","UP","2024-2024","9","9","0","220","75","24.44","155","141.93","0","2","1","27","9"
"SG Rawat","BRODA","2024-2024","5","5","0","217","63","43.40","131","165.64","0","1","0","19","11"
"KL Shrijith","KNTKA","2024-2024","7","7","2","213","72*","42.60","121","176.03","0","1","0","16","16"
"Prabhsimran Singh","PNJB","2024-2024","6","6","0","207","62","34.50","125","165.60","0","1","0","24","9"
"B Indrajith","TN","2024-2024","7","7","0","206","78","29.42","109","188.99","0","1","0","21","10"
"AD Chopra","MIZO","2024-2024","7","7","1","205","56*","34.16","164","125.00","0","2","0","27","2"
"VM Jadeja","SAU","2024-2024","8","8","3","204","60","40.80","132","154.54","0","2","0","18","9"
"Kartik Sharma","RAJ","2024-2024","7","6","0","201","58","33.50","122","164.75","0","2","0","9","17"
"AR Rohera","PONDI","2024-2024","6","6","0","200","105","33.33","123","162.60","1","0","0","21","11"
"N Sindhu","HRYNA","2024-2024","7","6","1","200","100*","40.00","137","145.98","1","1","0","18","7"
