player,team,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes
"Ishan Kishan","JHK","2025-2025","10","10","1","517","113*","57.44","262","197.32","2","2","0","51","33"
"Ankit Kumar","HRYNA","2025-2025","11","11","1","448","89","44.80","260","172.30","0","5","1","49","22"
"K Kushagra","JHK","2025-2025","10","10","3","422","86*","60.28","261","161.68","0","4","0","34","22"
"Yashvardhan Dalal","HRYNA","2025-2025","11","10","2","398","76*","49.75","268","148.50","0","5","0","32","19"
"AM Rahane","MUM","2025-2025","10","10","2","391","95*","48.87","242","161.57","0","3","1","37","16"
"Virat Singh","JHK","2025-2025","11","11","2","382","77","42.44","225","169.77","0","4","0","30","22"
"S Arora","PNJB","2025-2025","8","8","3","358","125*","71.60","180","198.88","1","1","0","23","28"
"K Chandela","UKHND","2025-2025","7","7","0","350","94","50.00","232","150.86","0","4","0","36","14"
"Anmolpreet Singh","PNJB","2025-2025","10","10","0","349","81","34.90","199","175.37","0","2","0","30","21"
"Harpreet Singh","MP","2025-2025","10","10","2","334","80*","41.75","240","139.16","0","2","2","39","6"
"SN Khan","MUM","2025-2025","7","7","2","329","100*","65.80","162","203.08","1","3","0","37","19"
"A Mhatre","MUM","2025-2025","6","6","3","325","110*","108.33","195","166.66","2","1","0","20","25"
"TD Agarwal","HYD","2025-2025","10","10","1","320","75","35.55","186","172.04","0","3","0","35","17"
"R Smaran","KNTKA","2025-2025","7","7","2","319","72","63.80","201","158.70","0","2","0","19","18"
"D Padikkal","KNTKA","2025-2025","6","6","1","309","102*","61.80","185","167.02","1","2","0","36","12"
"DJ Hooda","RAJ","2025-2025","10","10","2","305","90*","38.12","186","163.97","0","3","2","29","15"
"Abhishek Sharma","PNJB","2025-2025","6","6","0","304","148","50.66","122","249.18","1","2","0","27","26"
"N Sindhu","HRYNA","2025-2025","11","10","1","303","63*","33.66","182","166.48","0","2","0","27","16"
"AS Roy","JHK","2025-2025","11","10","5","303","95*","60.60","189","160.31","0","1","0","23","15"
