player,team,span,matches,innings,balls,overs,maidens,runs,wickets,bbi,average,economy,strike_rate,four_wickets,five_wickets
"SS Mishra","JHK","2025-2025","11","11","254","42.2","0","378","22","3/21","17.18","8.92","11.54","0","0"
"Ashok Sharma","RAJ","2025-2025","10","10","223","37.1","1","344","22","4/16","15.63","9.25","10.13","2","0"
"A Kamboj","HRYNA","2025-2025","11","11","259","43.1","0","371","21","4/23","17.66","8.59","12.33","1","0"
"Yash Thakur","VIDAR","2025-2025","7","7","157","26.1","0","178","18","5/16","9.88","6.80","8.72","1","1"
"AS Roy","JHK","2025-2025","11","11","224","37.2","0","277","18","3/20","15.38","7.41","12.44","0","0"
"Shivam Shukla","MP","2025-2025","10","10","205","34.1","1","248","17","4/23","14.58","7.25","12.05","1","0"
"CV Milind","HYD","2025-2025","9","9","208","34.4","0","260","17","3/25","15.29","7.50","12.23","0","0"
"T Thyagarajan","HYD","2025-2025","10","10","240","40.0","0","288","16","3/21","18.00","7.20","15.00","0","0"
"PVSN Raju","AP","2025-2025","10","10","216","36.0","1","301","16","4/26","18.81","8.36","13.50","1","0"
"Tripuresh Singh","MP","2025-2025","10","10","222","37.0","0","310","16","3/23","19.37","8.37","13.87","0","0"
"Mohammed Shami","BENG","2025-2025","7","7","161","26.5","0","239","16","4/13","14.93","8.90","10.06","2","0"
"KM Asif","KER","2025-2025","6","6","123","20.3","0","138","15","5/24","9.20","6.73","8.20","0","1"
"Mukhtar Hussain","ASSAM","2025-2025","7","7","162","27.0","1","188","15","6/20","12.53","6.96","10.80","1","1"
"Auqib Nabi","J + K","2025-2025","7","7","161","26.5","3","199","15","4/16","13.26","7.41","10.73","1","0"
"Harpreet Brar","PNJB","2025-2025","9","9","174","29.0","2","236","15","4/23","15.73","8.13","11.60","1","0"
"R Limbani","BRODA","2025-2025","7","7","151","25.1","1","216","15","3/5","14.40","8.58","10.06","0","0"
"SB Patil","MUM","2025-2025","10","9","174","29.0","0","250","14","3/33","17.85","8.62","12.42","0","0"
"Bal Krishna","JHK","2025-2025","11","11","219","36.3","0","354","14","3/38","25.28","9.69","15.64","0","0"
"SD Jakhar","HRYNA","2025-2025","11","10","177","29.3","0","292","14","3/24","20.85","9.89","12.64","0","0"
"MJ Suthar","RAJ","2025-2025","10","10","210","35.0","0","245","13","3/21","18.84","7.00","16.15","0","0"
"Sandeep Sharma","CHD","2025-2025","7","7","162","27.0","2","197","13","4/26","15.15","7.29","12.46","1","0"
"V Nigam","UP","2025-2025","7","7","168","28.0","0","206","13","3/20","15.84","7.35","12.92","0","0"
"Rajan Kumar","UKHND","2025-2025","7","7","156","26.0","0","217","13","4/37","16.69","8.34","12.00","1","0"
"SN Thakur","MUM","2025-2025","10","10","180","30.0","4","251","13","5/23","19.30","8.36","13.84","0","1"
"Vikash Singh","JHK","2025-2025","11","11","216","36.0","0","320","13","2/21","24.61","8.88","16.61","0","0"
"KL Nagarkoti","RAJ","2025-2025","8","8","177","29.3","0","264","13","3/34","20.30","8.94","13.61","0","0"
"C Rakshann Readdi","HYD","2025-2025","9","9","196","32.4","0","299","13","3/31","23.00","9.15","15.07","0","0"
"JD Unadkat","SAU","2025-2025","7","7","168","28.0","0","188","12","3/19","15.66","6.71","14.00","0","0"
"Rajesh Mohanty","ODSA","2025-2025","7","7","150","25.0","0","185","12","5/21","15.41","7.40","12.50","0","1"
"Y Prithvi Raj","AP","2025-2025","9","9","204","34.0","1","254","12","3/4","21.16","7.47","17.00","0","0"
"C Sakariya","SAU","2025-2025","7","7","168","28.0","0","281","12","3/42","23.41","10.03","14.00","0","0"
"Gurinder Singh","SIKM","2025-2025","6","6","138","23.0","0","117","11","4/14","10.63","5.08","12.54","1","0"
"B Lalnunfela","MIZO","2025-2025","6","6","114","19.0","1","123","11","4/25","11.18","6.47","10.36","1","0"
"Suyash Sharma","DELHI","2025-2025","7","7","162","27.0","0","192","11","3/20","17.45","7.11","14.72","0","0"
"AR Nagwaswalla","GUJ","2025-2025","7","7","155","25.5","0","190","11","3/16","17.27","7.35","14.09","0","0"
"RS Hangargekar","MAHA","2025-2025","7","7","160","26.4","1","197","11","3/10","17.90","7.38","14.54","0","0"
"Yudhvir Singh","J + K","2025-2025","7","7","156","26.0","0","209","11","2/18","19.00","8.03","14.18","0","0"
"Adil Ayub Tunda","PONDI","2025-2025","7","6","125","20.5","1","183","11","4/30","16.63","8.78","11.36","1","0"
"Jagjit Singh","CHD","2025-2025","7","7","156","26.0","0","246","11","3/36","22.36","9.46","14.18","0","0"
"Kranthi Kumar","SIKM","2025-2025","6","6","131","21.5","1","123","10","3/22","12.30","5.63","13.10","0","0"
"Arshad Khan","MP","2025-2025","5","5","102","17.0","2","105","10","6/9","10.50","6.17","10.20","0","1"
"AA Choudhury","ASSAM","2025-2025","7","7","162","27.0","0","167","10","2/15","16.70","6.18","16.20","0","0"
"V Koushik","GOA","2025-2025","7","7","144","24.0","1","166","10","3/12","16.60","6.91","14.40","0","0"
"DD Gaonkar","GOA","2025-2025","7","7","144","24.0","0","179","10","4/38","17.90","7.45","14.40","1","0"
"Swapnil Singh","TPURA","2025-2025","7","7","132","22.0","0","172","10","3/21","17.20","7.81","13.20","0","0"
"RR Batham","MP","2025-2025","10","10","196","32.4","0","274","10","3/33","27.40","8.38","19.60","0","0"
"Gurnoor Brar","PNJB","2025-2025","6","6","139","23.1","0","231","10","3/23","23.10","9.97","13.90","0","0"
"P Tamang","SIKM","2025-2025","6","6","138","23.0","1","130","9","3/15","14.44","5.65","15.33","0","0"
"SG Singh","PONDI","2025-2025","7","6","126","21.0","0","128","9","3/9","14.22","6.09","14.00","0","0"
"Saurabh Kumar","AP","2025-2025","9","9","210","35.0","0","222","9","3/23","24.66","6.34","23.33","0","0"
"Jalaj S Saxena","MAHA","2025-2025","6","6","144","24.0","0","153","9","3/22","17.00","6.37","16.00","0","0"
"M Ravi Kiran","CGR","2025-2025","7","7","150","25.0","0","160","9","2/10","17.77","6.40","16.66","0","0"
"PR Veer","UP","2025-2025","7","7","150","25.0","0","169","9","3/20","18.77","6.76","16.66","0","0"
"Mohd Izhar","BIHAR","2025-2025","5","5","118","19.4","1","140","9","4/39","15.55","7.11","13.11","1","0"
"J Yadav","PONDI","2025-2025","7","7","150","25.0","0","179","9","4/28","19.88","7.16","16.66","1","0"
"SS Agarwal","CGR","2025-2025","7","7","138","23.0","0","165","9","2/13","18.33","7.17","15.33","0","0"
"BB Samantray","ODSA","2025-2025","7","7","108","18.0","0","133","9","3/2","14.77","7.38","12.00","0","0"
"A Bihari Rai","RLYS","2025-2025","7","7","152","25.2","0","196","9","3/23","21.77","7.73","16.88","0","0"
"I Lemtur","NAGA","2025-2025","5","5","102","17.0","0","142","9","3/47","15.77","8.35","11.33","0","0"
"KV Sasikanth","AP","2025-2025","8","8","176","29.2","0","249","9","2/33","27.66","8.48","19.55","0","0"
"Ravi Bishnoi","GUJ","2025-2025","7","7","143","23.5","0","208","9","3/13","23.11","8.72","15.88","0","0"
"V Vyshak","KNTKA","2025-2025","6","6","132","22.0","0","196","9","3/28","21.77","8.90","14.66","0","0"
"AV Ankolekar","MUM","2025-2025","10","10","193","32.1","0","288","9","2/13","32.00","8.95","21.44","0","0"
"AA Sheth","BRODA","2025-2025","6","6","120","20.0","0","187","9","2/14","20.77","9.35","13.33","0","0"
"AA Sengupta","ASSAM","2025-2025","6","6","129","21.3","0","204","9","4/35","22.66","9.48","14.33","1","0"
"VG Arora","HP","2025-2025","7","7","142","23.4","0","225","9","3/16","25.00","9.50","15.77","0","0"
"Ramandeep Singh","PNJB","2025-2025","10","9","142","23.4","0","238","9","2/29","26.44","10.05","15.77","0","0"
"BS Konthoujam","MNPR","2025-2025","5","5","112","18.4","0","111","8","3/17","13.87","5.94","14.00","0","0"
"Swarajeet Das","MEGHA","2025-2025","5","5","106","17.4","0","108","8","4/20","13.50","6.11","13.25","1","0"
"HS Dubey","VIDAR","2025-2025","7","7","156","26.0","0","165","8","2/13","20.62","6.34","19.50","0","0"
"R Jonathan","NAGA","2025-2025","5","5","101","16.5","0","110","8","4/10","13.75","6.53","12.62","1","0"
"B Kumar","UP","2025-2025","7","7","132","22.0","0","154","8","3/23","19.25","7.00","16.50","0","0"
"SK Kashyap","BIHAR","2025-2025","7","7","162","27.0","0","189","8","3/24","23.62","7.00","20.25","0","0"
"KC Cariappa","MIZO","2025-2025","6","6","140","23.2","0","164","8","3/29","20.50","7.02","17.50","0","0"
"P Dubey","KNTKA","2025-2025","6","6","98","16.2","0","120","8","3/15","15.00","7.34","12.25","0","0"
"AS Tendulkar","GOA","2025-2025","5","5","98","16.2","0","127","8","3/17","15.87","7.77","12.25","0","0"
"T Natarajan","TN","2025-2025","6","6","138","23.0","0","186","8","2/16","23.25","8.08","17.25","0","0"
"TC Vanlalremruata","MIZO","2025-2025","6","6","138","23.0","0","189","8","3/32","23.62","8.21","17.25","0","0"
"AR Rana","HRYNA","2025-2025","9","9","162","27.0","0","227","8","3/14","28.37","8.40","20.25","0","0"
"Prince Yadav","DELHI","2025-2025","7","7","158","26.2","0","223","8","3/43","27.87","8.46","19.75","0","0"
"MR Surroch","HP","2025-2025","7","7","126","21.0","0","183","8","3/45","22.87","8.71","15.75","0","0"
"AJ Mandal","CGR","2025-2025","6","6","132","22.0","0","193","8","4/25","24.12","8.77","16.50","1","0"
"IR Bhardwaj","HRYNA","2025-2025","6","6","132","22.0","0","205","8","2/18","25.62","9.31","16.50","0","0"
"Mohit Rathee","SVCS","2025-2025","7","7","144","24.0","0","226","8","2/38","28.25","9.41","18.00","0","0"
"HV Patel","GUJ","2025-2025","5","5","117","19.3","0","189","8","3/26","23.62","9.69","14.62","0","0"
"Ashwani Kumar","PNJB","2025-2025","9","9","174","29.0","0","289","8","3/31","36.12","9.96","21.75","0","0"
"TU Deshpande","MUM","2025-2025","10","10","183","30.3","1","312","8","3/25","39.00","10.22","22.87","0","0"
"V Patil","KNTKA","2025-2025","7","7","156","26.0","0","269","8","3/45","33.62","10.34","19.50","0","0"
"DG Nalkande","VIDAR","2025-2025","6","6","133","22.1","0","231","8","2/26","28.87","10.42","16.62","0","0"
"Mohammed Siraj","HYD","2025-2025","4","4","95","15.5","0","92","7","3/17","13.14","5.81","13.57","0","0"
"VK Ostwal","MAHA","2025-2025","7","7","162","27.0","0","174","7","3/27","24.85","6.44","23.14","0","0"
"M Ashwin","J + K","2025-2025","7","7","144","24.0","0","157","7","2/16","22.42","6.54","20.57","0","0"
"Ankur Malik","SIKM","2025-2025","6","6","114","19.0","1","140","7","3/18","20.00","7.36","16.28","0","0"
"DS Rathi","DELHI","2025-2025","5","5","120","20.0","0","150","7","2/22","21.42","7.50","17.14","0","0"
"MD Nidheesh","KER","2025-2025","7","7","146","24.2","0","184","7","4/35","26.28","7.56","20.85","1","0"
"JK Bhatt","GUJ","2025-2025","4","4","78","13.0","0","99","7","3/17","14.14","7.61","11.14","0","0"
"KV Sharma","RLYS","2025-2025","7","7","156","26.0","0","198","7","2/17","28.28","7.61","22.28","0","0"
"R Sonu Yadav","TN","2025-2025","6","6","126","21.0","0","179","7","2/29","25.57","8.52","18.00","0","0"
"HM Patel","GUJ","2025-2025","7","5","96","16.0","0","138","7","2/21","19.71","8.62","13.71","0","0"
"SJK Majumdar","CGR","2025-2025","6","6","119","19.5","0","174","7","3/23","24.85","8.77","17.00","0","0"
