batsman,total_runs,total_balls,total_innings,overall_sr,total_fours,total_sixes,dot_ball_pct,inn1_runs,inn1_balls,inn1_sr,inn1_fours,inn1_sixes,inn2_runs,inn2_balls,inn2_sr,inn2_fours,inn2_sixes,powerplay_runs,powerplay_balls,powerplay_sr,powerplay_fours,powerplay_sixes,powerplay_boundaries,middle_runs,middle_balls,middle_sr,middle_fours,middle_sixes,middle_boundaries,death_runs,death_balls,death_sr,death_fours,death_sixes,death_boundaries,runs_in_wins,runs_in_losses,runs_in_close_matches,runs_competitive_total,inn1_powerplay_runs,inn1_powerplay_balls,inn1_powerplay_sr,inn1_powerplay_boundaries,inn1_middle_runs,inn1_middle_balls,inn1_middle_sr,inn1_middle_boundaries,inn1_death_runs,inn1_death_balls,inn1_death_sr,inn1_death_boundaries,inn2_powerplay_runs,inn2_powerplay_balls,inn2_powerplay_sr,inn2_powerplay_boundaries,inn2_middle_runs,inn2_middle_balls,inn2_middle_sr,inn2_middle_boundaries,inn2_death_runs,inn2_death_balls,inn2_death_sr,inn2_death_boundaries,runs_vs_quality_bowling,runs_vs_weak_bowling
Shubman Gill,3482,2483,91,140.23358840112766,329,104,26.500201369311316,1784,1211,147.3162675474814,165,55,1698,1272,133.49056603773585,164,49,1650,1239,133.17191283292976,202,38,240,1497,1039,144.0808469682387,105,50,155,335,205,163.41463414634146,22,16,38,2431,1051,2227,2163,801,584,137.15753424657535,114,792,509,155.59921414538312,84,191,118,161.864406779661,22,849,655,129.61832061068702,126,705,530,133.0188679245283,71,144,87,165.51724137931035,16,81,199
V Kohli,3389,2489,90,136.15910004017678,291,101,25.51225391723584,1922,1452,132.36914600550963,147,59,1467,1037,141.46576663452265,144,42,1547,1085,142.5806451612903,183,41,224,1467,1180,124.3220338983051,83,45,128,375,224,167.41071428571428,25,15,40,2155,1234,2447,2174,849,617,137.60129659643437,114,821,686,119.67930029154519,66,252,149,169.1275167785235,26,698,468,149.14529914529913,110,646,494,130.76923076923077,62,123,75,164.0,14,91,194
KL Rahul,3382,2473,77,136.75697533360292,276,127,28.184391427416095,1923,1377,139.65141612200435,167,71,1459,1096,133.1204379562044,109,56,1421,1140,124.64912280701755,146,46,192,1453,1037,140.11571841851494,89,58,147,508,296,171.6216216216216,41,23,64,2001,1381,2484,1877,722,607,118.94563426688633,98,852,584,145.8904109589041,93,349,186,187.63440860215056,47,699,533,131.14446529080675,94,601,453,132.6710816777042,54,159,110,144.54545454545456,17,142,263
F du Plessis,3042,2106,83,144.44444444444443,277,115,27.397910731244064,1667,1194,139.61474036850922,145,62,1375,912,150.76754385964912,132,53,1572,1094,143.6928702010969,182,56,238,1131,829,136.42943305186972,68,41,109,339,183,185.24590163934425,27,18,45,1757,1285,1979,2217,751,579,129.706390328152,112,679,487,139.42505133470226,64,237,128,185.15625,31,821,515,159.41747572815535,126,452,342,132.16374269005848,45,102,55,185.45454545454544,14,77,143
JC Buttler,2864,1903,74,150.49921177088808,268,124,30.373095112979502,1606,1091,147.2043996333639,148,69,1258,812,154.92610837438423,120,55,1127,841,134.00713436385257,128,42,170,1216,807,150.6815365551425,101,48,149,521,255,204.31372549019608,39,34,73,1697,1167,1797,1908,561,446,125.7847533632287,83,719,486,147.9423868312757,85,326,159,205.0314465408805,49,566,395,143.29113924050634,87,497,321,154.82866043613708,64,195,96,203.125,24,114,212
SA Yadav,2832,1764,80,160.54421768707482,294,121,26.927437641723355,1481,961,154.11030176899064,153,61,1351,803,168.24408468244084,141,60,494,353,139.94334277620396,66,14,80,1844,1177,156.6694987255735,178,74,252,494,234,211.11111111111111,50,33,83,1755,1077,1919,1824,358,240,149.16666666666666,59,793,570,139.12280701754386,100,330,151,218.5430463576159,55,136,113,120.35398230088497,21,1051,607,173.1466227347611,152,164,83,197.59036144578312,28,74,164
SV Samson,2603,1747,83,148.99828277046365,209,130,27.18946765884373,1237,837,147.78972520908005,97,62,1366,910,150.1098901098901,112,68,710,524,135.49618320610688,92,24,116,1502,1014,148.12623274161737,89,81,170,391,209,187.08133971291866,28,25,53,1419,1184,1761,1836,336,249,134.93975903614458,51,677,465,145.59139784946237,78,224,123,182.11382113821136,30,374,275,136.0,65,825,549,150.27322404371583,92,167,86,194.1860465116279,23,80,177
RD Gaikwad,2598,1863,70,139.4524959742351,231,95,29.414922168545353,1592,1087,146.458141674333,137,69,1006,776,129.63917525773198,94,26,1260,963,130.8411214953271,140,37,177,1063,744,142.8763440860215,69,44,113,275,156,176.28205128205127,22,14,36,1700,898,1762,1556,763,572,133.3916083916084,110,651,422,154.26540284360192,72,178,93,191.3978494623656,24,497,391,127.10997442455243,67,412,322,127.95031055900621,41,97,63,153.96825396825398,12,94,137
Ishan Kishan,2403,1691,79,142.10526315789474,224,100,30.21880544056771,1051,771,136.3164721141375,98,37,1352,920,146.95652173913044,126,63,1169,838,139.49880668257757,143,40,183,939,705,133.19148936170214,56,43,99,295,148,199.32432432432432,25,17,42,1543,860,1551,1498,409,317,129.02208201892745,62,433,349,124.06876790830945,43,209,105,199.04761904761904,30,760,521,145.87332053742804,121,506,356,142.13483146067415,56,86,43,200.0,12,74,187
S Dhawan,2293,1706,63,134.40797186400937,244,57,29.54279015240328,1325,978,135.480572597137,136,36,968,728,132.96703296703296,108,21,1076,840,128.09523809523807,138,27,165,969,717,135.14644351464435,84,19,103,248,149,166.44295302013424,22,11,33,1429,864,1857,1239,609,487,125.05133470225873,90,516,375,137.6,55,200,116,172.41379310344826,27,467,353,132.29461756373937,75,453,342,132.45614035087718,48,48,33,145.45454545454547,6,134,60
RG Sharma,2277,1656,84,137.5,209,108,35.08454106280193,1032,758,136.14775725593668,100,45,1245,898,138.641425389755,109,63,1488,1089,136.63911845730027,144,76,220,694,509,136.34577603143418,58,27,85,95,58,163.79310344827587,7,5,12,1328,949,1426,1468,694,509,136.34577603143418,108,289,221,130.76923076923077,31,49,28,175.0,6,794,580,136.89655172413794,112,405,288,140.625,54,46,30,153.33333333333334,6,37,165
YBK Jaiswal,2246,1454,66,154.47042640990372,259,92,32.53094910591472,956,630,151.74603174603175,113,39,1290,824,156.55339805825244,146,53,1426,892,159.86547085201795,194,58,252,730,518,140.92664092664094,56,28,84,90,44,204.54545454545453,9,6,15,1246,1000,1748,1637,608,405,150.12345679012347,105,289,202,143.06930693069307,36,59,23,256.52173913043475,11,818,487,167.9671457905544,147,441,316,139.55696202531647,48,31,21,147.61904761904762,4,64,139
N Pooran,2229,1321,80,168.73580620741862,148,153,25.208175624526874,1116,684,163.1578947368421,79,72,1113,637,174.72527472527472,69,81,174,110,158.1818181818182,16,12,28,1213,734,165.25885558583107,74,86,160,842,477,176.51991614255763,58,55,113,1180,1049,1444,1532,31,33,93.93939393939394,5,573,356,160.95505617977528,78,512,295,173.5593220338983,68,143,77,185.71428571428572,23,640,378,169.31216931216932,82,330,182,181.3186813186813,45,62,181
