bowler,total_balls,total_overs,total_runs,total_wickets,overall_economy,dot_ball_pct,inn1_balls,inn1_overs,inn1_runs,inn1_wickets,inn1_economy,inn2_balls,inn2_overs,inn2_runs,inn2_wickets,inn2_economy,powerplay_balls,powerplay_overs,powerplay_runs,powerplay_wickets,powerplay_economy,powerplay_dot_ball_pct,middle_balls,middle_overs,middle_runs,middle_wickets,middle_economy,middle_dot_ball_pct,death_balls,death_overs,death_runs,death_wickets,death_economy,death_dot_ball_pct,wickets_in_wins,wickets_in_losses,wickets_in_close_matches,runs_in_close_matches,inn1_powerplay_balls,inn1_powerplay_overs,inn1_powerplay_runs,inn1_powerplay_wickets,inn1_powerplay_economy,inn1_middle_balls,inn1_middle_overs,inn1_middle_runs,inn1_middle_wickets,inn1_middle_economy,inn1_death_balls,inn1_death_overs,inn1_death_runs,inn1_death_wickets,inn1_death_economy,inn2_powerplay_balls,inn2_powerplay_overs,inn2_powerplay_runs,inn2_powerplay_wickets,inn2_powerplay_economy,inn2_middle_balls,inn2_middle_overs,inn2_middle_runs,inn2_middle_wickets,inn2_middle_economy,inn2_death_balls,inn2_death_overs,inn2_death_runs,inn2_death_wickets,inn2_death_economy
YS Chahal,2065,344.1666666666667,2744,127,7.972881355932203,24.358353510895885,926,154.33333333333334,1313,49,8.50755939524838,1139,189.83333333333334,1431,78,7.538191395961369,84,14.0,109,4,7.785714285714286,33.33333333333333,1554,259.0,1992,75,7.691119691119691,25.28957528957529,427,71.16666666666667,643,48,9.035128805620609,19.20374707259953,86,41,94,2032,48,8.0,62,3,7.75,687,114.5,932,28,8.139737991266376,191,31.833333333333332,319,18,10.020942408376964,36,6.0,47,1,7.833333333333333,867,144.5,1060,47,7.335640138408304,236,39.333333333333336,324,30,8.23728813559322
HV Patel,1702,283.6666666666667,2404,121,8.474735605170387,22.855464159811987,811,135.16666666666666,1206,70,8.922318125770655,891,148.5,1198,51,8.067340067340067,166,27.666666666666668,249,5,9.0,33.734939759036145,816,136.0,1053,38,7.742647058823529,24.264705882352942,720,120.0,1102,78,9.183333333333334,18.75,72,49,82,1497,74,12.333333333333334,128,3,10.378378378378377,353,58.833333333333336,428,20,7.2747875354107645,384,64.0,650,47,10.15625,92,15.333333333333334,121,2,7.891304347826087,463,77.16666666666667,625,18,8.099352051835853,336,56.0,452,31,8.071428571428571
TA Boult,1979,329.8333333333333,2652,110,8.040424456796362,35.977766548762006,946,157.66666666666666,1267,52,8.035940803382664,1033,172.16666666666666,1385,58,8.044530493707649,1247,207.83333333333334,1461,64,7.029671210906175,46.67201283079391,274,45.666666666666664,406,11,8.89051094890511,17.153284671532848,458,76.33333333333333,785,35,10.283842794759826,18.12227074235808,81,29,70,1944,581,96.83333333333333,652,32,6.733218588640276,144,24.0,213,3,8.875,221,36.833333333333336,402,17,10.914027149321265,666,111.0,809,32,7.288288288288288,130,21.666666666666668,193,8,8.907692307692308,237,39.5,383,18,9.69620253164557
JJ Bumrah,1663,277.1666666666667,1897,108,6.844257366205652,35.838845460012024,836,139.33333333333334,910,57,6.5311004784688995,827,137.83333333333334,987,51,7.1608222490931075,584,97.33333333333333,651,25,6.688356164383562,48.63013698630137,435,72.5,466,23,6.427586206896552,34.25287356321839,644,107.33333333333333,780,60,7.267080745341615,25.310559006211182,68,40,59,1347,265,44.166666666666664,285,13,6.452830188679246,205,34.166666666666664,202,11,5.91219512195122,366,61.0,423,33,6.934426229508197,319,53.166666666666664,366,12,6.884012539184953,230,38.333333333333336,264,12,6.88695652173913,278,46.333333333333336,357,27,7.705035971223021
Rashid Khan,2121,353.5,2622,106,7.417256011315417,28.147100424328148,1249,208.16666666666666,1521,54,7.306645316253003,872,145.33333333333334,1101,52,7.575688073394495,212,35.333333333333336,293,9,8.29245283018868,29.71698113207547,1538,256.3333333333333,1798,67,7.014304291287386,28.868660598179453,371,61.833333333333336,531,30,8.587601078167115,24.258760107816713,59,47,67,1806,108,18.0,146,6,8.11111111111111,916,152.66666666666666,1072,33,7.021834061135372,225,37.5,303,15,8.08,104,17.333333333333332,147,3,8.480769230769232,622,103.66666666666667,726,34,7.003215434083601,146,24.333333333333332,228,15,9.36986301369863
Arshdeep Singh,1755,292.5,2507,103,8.57094017094017,27.97720797720798,885,147.5,1281,58,8.684745762711865,870,145.0,1226,45,8.455172413793104,835,139.16666666666666,1145,36,8.227544910179642,36.16766467065868,298,49.666666666666664,408,14,8.21476510067114,23.825503355704697,622,103.66666666666667,954,53,9.20257234726688,18.971061093247588,58,45,80,1985,415,69.16666666666667,539,18,7.792771084337349,130,21.666666666666668,191,6,8.815384615384614,340,56.666666666666664,551,34,9.723529411764707,420,70.0,606,18,8.657142857142857,168,28.0,217,8,7.75,282,47.0,403,19,8.574468085106384
CV Varun,1914,319.0,2397,101,7.5141065830721,30.773249738766978,928,154.66666666666666,1171,41,7.571120689655173,986,164.33333333333334,1226,60,7.460446247464502,376,62.666666666666664,453,15,7.2287234042553195,36.702127659574465,1229,204.83333333333334,1511,67,7.376729048006509,29.21074043938161,309,51.5,433,19,8.407766990291263,29.773462783171524,68,33,58,1606,200,33.333333333333336,233,8,6.989999999999999,568,94.66666666666667,694,28,7.330985915492957,160,26.666666666666668,244,5,9.15,176,29.333333333333332,220,7,7.5,661,110.16666666666667,817,39,7.416036308623298,149,24.833333333333332,189,14,7.610738255033557
Mohammed Shami,1624,270.6666666666667,2245,97,8.294334975369457,36.08374384236453,857,142.83333333333334,1190,61,8.331388564760793,767,127.83333333333333,1055,36,8.252933507170795,1031,171.83333333333334,1257,45,7.315227934044617,46.16876818622696,202,33.666666666666664,295,9,8.762376237623762,23.762376237623762,391,65.16666666666667,693,43,10.634271099744245,15.856777493606138,65,32,80,1732,512,85.33333333333333,620,26,7.265625,86,14.333333333333334,135,2,9.41860465116279,259,43.166666666666664,435,33,10.077220077220078,519,86.5,637,19,7.364161849710983,116,19.333333333333332,160,7,8.275862068965518,132,22.0,258,10,11.727272727272727
K Rabada,1557,259.5,2234,89,8.608863198458574,31.59922928709056,785,130.83333333333334,1212,38,9.263694267515923,772,128.66666666666666,1022,51,7.943005181347151,655,109.16666666666667,917,25,8.4,38.778625954198475,445,74.16666666666667,576,22,7.76629213483146,30.786516853932582,457,76.16666666666667,741,42,9.72866520787746,22.100656455142232,48,41,56,1528,327,54.5,514,12,9.431192660550458,214,35.666666666666664,300,8,8.41121495327103,244,40.666666666666664,398,18,9.78688524590164,328,54.666666666666664,403,13,7.371951219512195,231,38.5,276,14,7.1688311688311686,213,35.5,343,24,9.661971830985916
Avesh Khan,1524,254.0,2238,89,8.811023622047244,27.755905511811026,810,135.0,1233,46,9.133333333333333,714,119.0,1005,43,8.445378151260504,500,83.33333333333333,745,19,8.940000000000001,37.0,405,67.5,526,23,7.792592592592593,29.629629629629626,619,103.16666666666667,967,47,9.373182552504039,19.063004846526656,53,36,68,1679,252,42.0,376,9,8.952380952380953,212,35.333333333333336,296,12,8.377358490566037,346,57.666666666666664,561,25,9.728323699421965,248,41.333333333333336,369,10,8.92741935483871,193,32.166666666666664,230,11,7.1502590673575135,273,45.5,406,22,8.923076923076923
